Begriff: Skalierbarkeit,"Definition: Die Fähigkeit eines Systems, bei steigenden Anforderungen (z.B. Benutzerlast) erweitert zu werden."
Begriff: Schnittstelle,Definition: Ein Berührungspunkt zwischen verschiedenen Systemen oder Softwarekomponenten (API).
"Welches C1-Verb nutzt man professionell anstelle von „machen“, wenn es um die Einbindung eines neuen Features geht?",Implementieren
"Welches Verb drückt im IT-Kontext aus, dass man die Sicherheit oder Hochverfügbarkeit eines Systems garantiert?",Gewährleisten
Vervollständige die professionelle Kollokation: Eine Sicherheitslücke _____.,schließen
Vervollständige die professionelle Kollokation: Einen Meilenstein _____.,erreichen
Vervollständige die professionelle Kollokation: Die Vorgehensweise _____.,abstimmen
Vervollständige die professionelle Kollokation: Anforderungen _____.,umsetzen
Vervollständige die professionelle Kollokation: Maßnahmen _____.,ergreifen
Vervollständige die professionelle Kollokation: Eine Entscheidung _____.,herbeiführen
Vervollständige die professionelle Kollokation: Den Wissensaustausch _____.,fördern
Vervollständige die professionelle Kollokation: Die Verfügbarkeit _____.,sicherstellen
"Wie drückt man auf C1-Niveau informell aus, dass man ein Thema später besprechen will (Moderation)?",Lass uns diesen Punkt auf den Themenparkplatz schieben.
Was bedeutet das Idiom „Nägel mit Köpfen machen“ im Projektkontext?,Eine Sache final entscheiden oder ein Vorhaben konkret abschließen.
Was bedeutet das Idiom „Butter bei die Fische“?,"Aufforderung, zum Kern der Sache zu kommen oder Fakten zu nennen."
"Was bedeutet es, wenn eine User Story als „schwammig“ bezeichnet wird?",Sie ist unpräzise oder vage formuliert und lässt Fragen offen.
"Welcher Begriff bezeichnet technische Altlasten, die durch schnelle, unsaubere Lösungen entstehen?",Technische Schulden
"Wie signalisiert man im Meeting höflich, dass man eine kurze Anmerkung machen möchte?",„Darf ich da kurz einhaken?“
Was bedeutet das Idiom „den Rahmen sprengen“?,"Den vorgegebenen Umfang (Zeit, Budget oder Scope) deutlich überschreiten."
Was bedeutet das Idiom „auf dem Schlauch stehen“?,Etwas Offensichtliches im Moment nicht verstehen oder keine Lösung finden.
Was bedeutet das Idiom „den Finger in die Wunde legen“?,Ein kritisches Problem oder einen Schwachpunkt direkt ansprechen.
Was bedeutet das Idiom „über den Tellerrand schauen“?,Ganzheitlich denken oder andere Bereiche und Perspektiven einbeziehen.
"Wie bittet man professionell um eine Wiederholung, wenn man jemanden akustisch nicht verstanden hat?",„Das ist bei mir akustisch gerade nicht angekommen.“
"Was sagt man, wenn man während einer Diskussion den logischen Anschluss verloren hat?",„Ich habe gerade den Faden verloren.“
"Wie reagiert man souverän, wenn die eigene Technik im Meeting streikt?",„Irgendwie streikt meine Technik gerade. Gebt mir bitte eine Sekunde.“
"Welche Phrase nutzt man, um jemanden zu bremsen, der zu lange redet?","„Ich muss dich hier kurz bremsen, damit wir im Zeitplan bleiben.“"
Begriff: Alleinstellungsmerkmal,"Definition: Ein Merkmal, durch das sich ein Produkt oder eine Dienstleistung deutlich von der Konkurrenz abhebt (USP)."
"Welches Verb nutzt man, um die Belastbarkeit eines Systems methodisch zu untersuchen?",Analysieren (oder Evaluieren)
"Welches Verb beschreibt das schrittweise Verbessern von bestehendem Code, ohne die Funktion zu ändern?",Optimieren (Refactoring)
Cloze: In deutschen IT-Unternehmen ist das _____ (Verwendung von 'Du') der absolute Standard.,Dutzen
"Was bedeutet es, wenn man bei einer Lösung „Bauchschmerzen“ hat?",Man hat fachliche Bedenken oder ein ungutes Gefühl bei der Umsetzung.
Wie leitet man in einem Workshop zur nächsten Session über?,„Damit möchte ich zum nächsten Agendapunkt überleiten.“
Was ist ein „Themenparkplatz“ in einem Workshop?,"Ein Ort (z.B. Whiteboard), um relevante, aber aktuell nicht passende Themen für später festzuhalten."
Was bedeutet das Idiom „den Ball flach halten“?,In einer angespannten Situation ruhig bleiben und nicht überreagieren.
Was bedeutet das Idiom „zwei Fliegen mit einer Klappe schlagen“?,Zwei Ziele oder Probleme mit einer einzigen Maßnahme erreichen bzw. lösen.
Was bedeutet das Idiom „Butter bei die Fische“?,Klartext reden oder die entscheidenden Fakten auf den Tisch legen.
Wie beendet man einen Workshop und bittet um ein kurzes Feedback?,„Machen wir zum Ende ein kurzes Blitzlicht.“
Was bedeutet „Sachlichkeit“ in der deutschen Arbeitskultur?,Die Konzentration auf Fakten und objektive Argumente statt auf Emotionen.
Welches Verb beschreibt das Planen und Entwerfen einer Architektur?,Konzipieren
Vervollständige die Kollokation: Den Zugriff _____.,beschränken
Vervollständige die Kollokation: Einen Rückstand _____.,aufholen
Vervollständige die Kollokation: Das Budget _____.,freigeben
Vervollständige die Kollokation: Ein Backup _____.,anlegen
Vervollständige die Kollokation: Die Komplexität _____.,reduzieren
Vervollständige die Kollokation: Ein Deployment _____.,durchführen
"Welche Phrase nutzt man, um im Meeting das Wort zu ergreifen, wenn man gerade übergangen wurde?",„Ich würde dazu gerne direkt etwas ergänzen.“
Was bedeutet das Idiom „den Karren aus dem Dreck ziehen“?,"Ein Projekt oder eine Situation retten, die kurz vor dem Scheitern steht."
Was bedeutet das Idiom „die Kirche im Dorf lassen“?,Nicht übertreiben oder bei den Tatsachen bleiben.
Was bedeutet das Idiom „in Stein gemeißelt“?,Unveränderbar oder endgültig festgelegt (meist negativ im Sinne von Starrheit).
Was bedeutet das Idiom „auf Herz und Nieren prüfen“?,Etwas sehr gründlich und umfassend testen oder untersuchen.
Wie fragt man in einer Refinement-Session nach dem konkreten Nutzerwert?,„Welchen Mehrwert generieren wir hier eigentlich für den Endnutzer?“
Was bedeutet „Behördensprache“ im deutschen Kontext?,"Die formelle, oft komplexe Sprache, die in Ämtern und offiziellen Dokumenten verwendet wird."
Begriff: DSGVO,Definition: Datenschutz-Grundverordnung; das zentrale Gesetz zum Schutz personenbezogener Daten in der EU.
Was beschreibt der Begriff „Engpassanalyse“?,"Die Identifizierung von Schwachstellen (Bottlenecks), die den Prozess verlangsamen."
"Welches Verb nutzt man, um die Nutzbarkeit verschiedener Tools gegeneinander abzuwägen?",Evaluieren
"Was bedeutet es, jemanden „abzuholen“ (im übertragenen Sinne)?","Sicherstellen, dass alle Teilnehmer auf dem gleichen Informationsstand sind."
"Cloze: Ein Senior Developer sollte nicht nur „helfen“, sondern die Zusammenarbeit aktiv _____.",koordinieren (oder fördern)
Was ist eine „eierlegende Wollmilchsau“ im IT-Kontext?,"Ein (oft unrealistisches) Tool oder Feature, das alle Probleme gleichzeitig lösen soll."
Was bedeutet das Idiom „auf dem Holzweg sein“?,Einer falschen Theorie oder einem falschen Lösungsansatz folgen.
Was bedeutet das Idiom „den roten Faden verlieren“?,Den Überblick oder die Struktur in einer Erzählung oder Diskussion verlieren.
"Wie drückt man aus, dass man kurz vor dem Verlassen eines Meetings steht?",„Ich bin leider schon auf dem Sprung zum nächsten Termin.“
Vervollständige die Kollokation: Eine Hypothese _____.,validieren
Vervollständige die Kollokation: Den Standard _____.,etablieren
Was bedeutet „Sachlichkeit“ in der Kommunikation?,"Eine neutrale, auf Fakten basierende Ausdrucksweise ohne persönliche Angriffe."
Welches Wort nutzt man für eine formale Abnahme eines Projekts durch den Kunden?,Die Abnahme
"Cloze: Wenn man sich im Meeting nicht einigen kann, muss man einen _____ finden.",Kompromiss
Was bedeutet „Eigenverantwortung“ in einem agilen Team?,"Die Verpflichtung des Einzelnen, Aufgaben selbstständig zu übernehmen und für Ergebnisse zu bürgen."
